번호,시간,회사명,종목코드,공시제목,제출인
83,2014-12-31 18:18,한국테크놀로지,053590,관리종목지정(1우선주(상장주식수 5만주 미만)),코스닥시장본부
82,2014-12-12 18:28,에이스하이텍,071930,관리종목 해제(파산 신청 사유 해소),코스닥시장본부
81,2014-12-10 18:48,터보테크,032420,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
80,2014-12-05 18:10,에이스하이텍,071930,관리종목지정(파산신청),코스닥시장본부
79,2014-11-24 18:12,승화프리텍,111610,관리종목지정사유추가(회생절차 개시신청),코스닥시장본부
78,2014-11-19 17:26,영진코퍼레이션,053330,관리종목지정사유추가(불성실공시 ),코스닥시장본부
77,2014-11-03 19:00,잘만테크,090120,관리종목지정(회생절차 개시신청),코스닥시장본부
76,2014-10-30 18:24,영진코퍼레이션,053330,관리종목지정(회생절차 개시신청),코스닥시장본부
75,2014-10-07 18:57,울트라건설,004320,관리종목지정(회생절차 개시신청),코스닥시장본부
74,2014-09-26 18:10,와이오엠,066430,관리종목지정(자본잠식률 50% 이상 등),코스닥시장본부
73,2014-09-23 18:32,한진피앤씨,061460,관리종목 해제,코스닥시장본부
72,2014-09-11 19:52,터보테크,032420,관리종목지정사유일부해제(반기보고서 미제출 사유해소 등),코스닥시장본부
71,2014-09-11 19:13,엘컴텍,037950,관리종목지정사유일부해제(상장폐지사유 해소),코스닥시장본부
70,2014-08-29 20:13,터보테크,032420,관리종목지정사유추가(반기보고서 미제출),코스닥시장본부
69,2014-08-29 19:58,애머릿지,900100,관리종목지정사유일부해제(자기자본 10억원 미만사유 해소),코스닥시장본부
68,2014-08-29 19:08,제이웨이,058420,"관리종목지정(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
67,2014-08-28 19:28,엘컴텍,037950,관리종목지정사유일부해제,코스닥시장본부
66,2014-08-28 19:03,디지텍시스템,091690,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 등)",코스닥시장본부
65,2014-08-28 18:38,골드앤에스,035290,관리종목 해제,코스닥시장본부
64,2014-08-27 18:17,와이즈파워,040670,관리종목지정사유일부해제(자본잠식률 50% 미만으로 회복),코스닥시장본부
63,2014-08-26 17:50,태창파로스,039850,관리종목지정(불성실공시),코스닥시장본부
62,2014-08-14 19:36,뉴아세아,013340,관리종목지정사유추가(반기보고서 미제출),코스닥시장본부
61,2014-08-14 19:10,플레이위드,023770,관리종목지정사유일부해제,코스닥시장본부
60,2014-08-14 19:10,한진피앤씨,061460,관리종목지정사유일부해제,코스닥시장본부
59,2014-08-14 19:09,서울리거,043710,관리종목 해제,코스닥시장본부
58,2014-08-14 19:09,오성첨단소재,052420,관리종목지정사유일부해제,코스닥시장본부
57,2014-08-07 18:48,승화프리텍,111610,관리종목지정(불성실공시),코스닥시장본부
