번호,시간,회사명,종목코드,공시제목,제출인
271,2020-12-16 17:26,에스디시스템,121890,관리종목지정사유추가(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생 등),코스닥시장본부
270,2020-12-10 18:27,비츠로시스,054220,관리종목지정사유일부해제(상장폐지 사유 해소),코스닥시장본부
269,2020-12-07 19:17,스킨앤스킨,159910,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
268,2020-12-07 18:42,아리온,058220,관리종목지정사유추가(회생절차개시신청),코스닥시장본부
267,2020-12-04 18:17,DSEN,065150,관리종목지정사유일부해제(상장폐지 사유 해소),코스닥시장본부
266,2020-12-04 18:17,CNT85,056730,관리종목지정사유추가(상장적격성 실질심사 대상 결정),코스닥시장본부
265,2020-12-03 19:24,에이팸,073070,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
264,2020-11-30 17:48,한국제7호스팩,291210,관리종목지정(SPAC 상장예비심사청구서 미제출 등 ),코스닥시장본부
263,2020-11-26 20:17,비츠로시스,054220,관리종목지정사유추가및일부해제(자기자본 10억원 미만 등),코스닥시장본부
262,2020-11-26 17:19,미래SCI,028040,관리종목지정사유일부해제(분기보고서 미제출 사유 해소),코스닥시장본부
261,2020-11-17 18:09,럭슬,033600,관리종목지정사유일부해제(회생절차 개시신청 사유 해소),코스닥시장본부
260,2020-11-16 20:15,비츠로시스,054220,관리종목지정사유추가(반기보고서 미제출 ),코스닥시장본부
259,2020-11-16 19:49,미래SCI,028040,관리종목지정사유추가(분기보고서 미제출),코스닥시장본부
258,2020-10-30 17:05,코센,009730,관리종목지정사유추가(상장적격성 실질심사 대상 결정),코스닥시장본부
257,2020-10-28 18:53,매직마이크로,127160,관리종목 해제(파산 신청 사유 해소 ),코스닥시장본부
256,2020-10-23 18:30,파나케이아,058530,관리종목지정사유추가(상장적격성 실질심사 대상 결정),코스닥시장본부
255,2020-10-23 17:57,CNT85,056730,관리종목지정사유일부해제(상장폐지 사유 해소),코스닥시장본부
254,2020-10-21 17:50,코나아이,052400,"관리종목 해제(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 사유 해소 )",코스닥시장본부
253,2020-10-20 15:20,CNT85,056730,관리종목지정사유일부해제(회생절차 개시신청 사유 해소),코스닥시장본부
252,2020-10-08 18:24,비츠로시스,054220,관리종목지정사유일부해제(회생절차 개시신청 사유 해소 ),코스닥시장본부
251,2020-10-08 18:01,CNT85,056730,관리종목지정사유추가(자본잠식률 50% 이상 등),코스닥시장본부
250,2020-10-08 17:56,엑스큐어,070300,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부
249,2020-10-05 18:26,에이치엔티,176440,관리종목지정사유추가(회생절차 개시신청),코스닥시장본부
248,2020-09-28 18:17,애머릿지,900100,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 )",코스닥시장본부
247,2020-09-28 18:16,에스앤씨엔진그룹,900080,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 )",코스닥시장본부
246,2020-09-25 18:14,매직마이크로,127160,관리종목지정(파산신청),코스닥시장본부
245,2020-09-23 17:47,시큐브,131090,"관리종목 해제(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 사유 해소)",코스닥시장본부
244,2020-09-23 17:19,스킨앤스킨,159910,관리종목지정사유추가(상장적격성 실질심사 대상 결정),코스닥시장본부
243,2020-09-21 18:31,코나아이,052400,관리종목지정사유일부해제(형식적 상장폐지 사유 해소 ),코스닥시장본부
242,2020-09-21 18:25,에이팸,073070,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부
241,2020-09-16 18:44,이엠네트웍스,087730,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
240,2020-09-15 18:20,씨엔플러스,115530,관리종목지정사유추가(상장폐지 사유 발생),코스닥시장본부
239,2020-09-14 17:50,코아시아씨엠,196450,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
238,2020-09-14 17:26,세동,053060,관리종목지정(자본잠식률 50% 이상 외 1건),코스닥시장본부
237,2020-09-10 18:04,CSA 코스믹,083660,관리종목지정사유일부해제(상장유지 결정),코스닥시장본부
236,2020-09-02 16:59,럭슬,033600,관리종목지정사유추가(회생절차 개시신청),코스닥시장본부
235,2020-08-31 18:55,럭슬,033600,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
234,2020-08-31 18:42,코아시아씨엠,196450,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부
233,2020-08-31 17:16,엔지스테크널러지,208860,"관리종목지정(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
232,2020-08-26 19:06,이스트아시아홀딩스,900110,관리종목 해제(상장유지 결정),코스닥시장본부
231,2020-08-24 18:27,씨엔플러스,115530,관리종목지정사유일부해제(반기보고서 미제출 사유 해소),코스닥시장본부
230,2020-08-24 17:59,셀루메드,049180,관리종목지정사유일부해제(자본잠식률 50% 미만으로 회복 등),코스닥시장본부
229,2020-08-21 15:23,미래SCI,028040,관리종목지정사유일부해제(반기보고서 미제출 사유 해소),코스닥시장본부
228,2020-08-19 17:28,솔고바이오,043100,관리종목지정사유추가및일부해제,코스닥시장본부
227,2020-08-18 19:47,엑서지21,043090,관리종목지정사유추가및일부해제,코스닥시장본부
226,2020-08-18 19:26,아리온,058220,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
225,2020-08-18 19:02,아리온,058220,관리종목지정사유일부해제(반기보고서 미제출 사유 해소),코스닥시장본부
224,2020-08-14 20:41,코나아이,052400,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
223,2020-08-14 20:24,스킨앤스킨,159910,"관리종목지정(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
222,2020-08-14 20:17,코스온,069110,"관리종목지정(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
221,2020-08-14 20:16,에스제이케이,080440,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
220,2020-08-14 20:04,에스디시스템,121890,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
219,2020-08-14 20:04,아이엠텍,226350,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
218,2020-08-14 20:04,씨엔플러스,115530,관리종목지정사유추가(반기보고서 미제출),코스닥시장본부
217,2020-08-14 20:04,미래SCI,028040,관리종목지정사유추가(반기보고서 미제출),코스닥시장본부
216,2020-08-14 20:03,메디앙스,014100,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
215,2020-08-14 20:03,아리온,058220,관리종목지정사유추가(반기보고서 미제출),코스닥시장본부
214,2020-08-14 19:27,세영디앤씨,052190,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
213,2020-08-14 19:26,휴림에이텍,078590,"관리종목지정(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 )",코스닥시장본부
212,2020-08-14 19:22,엑서지21,043090,관리종목지정(반기보고서 미제출),코스닥시장본부
211,2020-08-14 19:22,참존글로벌,158310,관리종목지정사유추가(자본잠식률 50% 이상 외 2건),코스닥시장본부
210,2020-08-14 19:04,셀루메드,049180,관리종목지정사유추가(반기보고서 미제출),코스닥시장본부
209,2020-08-14 19:03,솔고바이오,043100,관리종목지정사유추가(반기보고서 미제출),코스닥시장본부
208,2020-08-14 19:02,블레이드 Ent,044480,"관리종목지정(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 )",코스닥시장본부
207,2020-08-14 18:51,디에스앤엘,141020,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 )",코스닥시장본부
206,2020-08-14 18:30,시큐브,131090,"관리종목지정(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
205,2020-08-14 18:27,MIT,038340,"관리종목지정(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 )",코스닥시장본부
204,2020-08-14 18:26,파나케이아,058530,"관리종목지정(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 )",코스닥시장본부
203,2020-08-14 18:22,코너스톤네트웍스,033110,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 외 1건)",코스닥시장본부
