,회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,산업명,매출액증가율,유형자산증가율,재고자산증가율,비유동자산증가율,유동자산증가율,자기자본증가율,총자본증가율,순이익증가율,매출액총이익률,매출액순이익률,자기자본순이익률,총자본사업이익률,총자본순이익률,1주당매출액,1주당순이익,유동비율,당좌비율,현금비율,순운전자본비율,부채비율,이자보상배율이자비용,비유동비율,유동자산구성비율,자기자본구성비율,자기자본배율,총자본회전률,자기자본회전률,비유동자산회전률,재고자산회전률,매출채권회전률,매입채무회전률,매입채무회전기간,재고자산회전기간,매출채권회전기간,1회전기간,운전자본회전률,순운전자본회전률,유형자산회전율,유동자산회전률,당좌자산회전률,부가가치,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,자본분배율,이윤분배율,label
0,(주)CMG제약,58820,2012-12-01,2001-08-31,,5,  의료용 물질 및 의약품 제조업,-8.43,-4.12,7.73,-16.43,207.08,75.17,109.15,0.0,28.34,-40.97,-26.84,-9.65,-15.78,332.74,-138.0,693.49,649.98,68.81,70.6,80.77,-7.75,31.65,82.49,55.32,95.69,0.39,0.66,1.48,5.71,1.85,7.83,46.62,63.97,197.16,0.0,0.0,0.42,1.71,0.52,0.57,269.31,0.47,2.89,10.67,1.66,1749.87,-1649.87,-2473.07,0
1,(주)CMG제약,58820,2013-12-01,2001-08-31,,5,  의료용 물질 및 의약품 제조업,25.51,16.09,56.29,77.05,-18.89,55.1,-2.09,0.0,38.7,1.45,0.74,2.81,0.52,235.52,4.16,694.71,610.74,394.63,58.5,14.11,0.7,36.13,68.34,87.63,113.12,0.36,0.51,1.47,5.39,2.07,6.2,58.88,67.75,176.2,0.01,0.79,0.42,2.03,0.48,0.52,6994.9,12.51,77.91,289.4,34.29,71.28,28.72,4.23,0
2,(주)CMG제약,58820,2014-12-01,2001-08-31,,5,  의료용 물질 및 의약품 제조업,11.52,74.3,6.37,68.15,-25.93,0.01,3.86,-46.64,37.07,0.69,0.32,1.25,0.28,262.65,1.82,324.58,268.23,101.24,33.72,18.5,3.6,60.75,48.74,84.39,113.13,0.4,0.46,0.96,4.77,1.86,5.27,69.23,76.46,196.72,0.0,0.74,0.56,1.54,0.68,0.8,7061.34,12.16,37.8,132.06,31.04,79.3,20.7,2.24,0
3,(주)ES큐브,50120,2012-12-01,2002-04-25,,5,  도매 및 상품 중개업,4.85,-26.25,-8.81,10.17,-33.37,1.56,-16.58,0.0,28.02,-0.64,0.29,1.1,-0.78,2392.63,5.0,472.77,371.91,84.78,38.68,16.11,1.72,59.14,49.06,86.12,335.11,1.21,1.4,2.37,11.55,12.19,36.32,10.05,31.59,29.94,0.02,0.0,2.03,17.59,2.46,3.13,17991.74,38.87,565.49,2009.57,32.14,86.11,13.89,-2.0,0
4,(주)ES큐브,50120,2013-12-01,2002-04-25,,5,  도매 및 상품 중개업,4.69,-31.56,29.33,-62.76,68.92,6.3,1.85,0.0,24.76,-28.08,-40.47,-1.77,-35.23,1862.12,-520.0,1056.51,883.95,278.73,73.67,11.25,-37.44,20.72,81.37,89.89,228.55,1.25,1.43,3.62,10.55,15.18,47.35,7.71,34.6,24.04,0.02,0.0,1.69,21.87,1.92,2.35,1434.39,3.04,65.87,225.06,2.45,1052.79,-952.79,-1147.24,0
5,(주)ES큐브,50120,2014-12-01,2002-04-25,,5,  도매 및 상품 중개업,-24.13,5.59,-2.89,18.41,20.49,17.12,20.1,0.0,21.42,-1.38,1.15,1.57,-1.19,1218.29,13.0,769.89,668.53,425.42,71.03,14.07,22.2,20.95,81.63,87.66,228.93,0.86,0.97,4.64,7.2,13.48,41.31,8.83,50.69,27.07,0.01,0.0,0.94,19.86,1.05,1.23,5773.0,10.2,251.09,857.87,12.98,82.73,17.27,-10.66,0
6,(주)가비아,79940,2012-12-01,2005-10-19,,5,  출판업,30.7,70.81,1619.44,47.43,10.96,21.12,31.24,46.89,41.64,13.64,21.3,15.82,12.54,5178.45,524.0,215.35,213.68,87.48,20.11,44.62,15.43,90.33,37.54,69.15,528.7,0.92,1.28,1.55,525.34,12.67,46.71,7.81,0.69,28.81,0.05,0.0,1.54,2.3,2.27,2.28,31058.09,36.43,82.09,823.51,44.97,49.79,50.21,30.33,0
7,(주)가비아,79940,2013-12-01,2005-10-19,,5,  출판업,2.34,-2.08,-62.32,1.07,16.92,16.38,7.02,-10.69,44.98,13.45,15.65,11.65,10.77,5299.73,465.0,249.42,248.8,82.18,24.57,32.99,15.81,78.45,41.01,75.19,615.59,0.8,1.11,1.32,413.22,11.61,32.25,11.32,0.88,31.43,0.05,0.0,1.42,1.89,2.04,2.05,32828.8,35.98,88.61,1037.87,46.45,51.67,48.33,28.96,0
8,(주)가비아,79940,2014-12-01,2005-10-19,,5,  출판업,13.8,0.14,0.0,5.21,12.05,10.07,8.02,-41.1,43.71,8.4,8.18,9.47,7.12,5961.89,271.0,258.29,258.29,98.0,26.07,30.51,24.59,74.99,42.54,76.63,664.46,0.85,1.12,1.46,1718.42,27.05,34.03,10.72,0.21,13.49,0.34,0.0,1.45,2.17,2.03,2.03,34179.94,34.68,92.13,1216.31,42.5,54.85,45.15,19.76,0
9,(주)고영테크놀러지,98460,2012-12-01,2008-06-03,,5,  기타 기계 및 장비 제조업,25.21,3.36,24.53,7.56,22.99,19.79,18.79,-2.55,57.02,14.12,19.91,23.17,15.99,12044.42,1743.0,498.93,385.1,49.28,60.23,23.92,1627.45,30.57,75.33,80.7,1857.36,1.13,1.41,4.38,6.73,4.19,14.19,25.72,54.2,87.14,0.01,0.0,1.26,7.05,1.53,1.98,32628.63,31.57,209.86,1754.14,30.26,36.28,63.72,46.65,0
