회사명,거래소코드,회계년도,매출액증가율(IFRS),총자본증가율(IFRS),매출액순이익률(IFRS),총자본정상영업이익률(IFRS),CASH FLOW 대 부채비율(IFRS),CASH FLOW 대 총자본비율(IFRS),총자본회전률(IFRS),자기자본회전률(IFRS),총자본투자효율(IFRS),설비투자효율(IFRS)
(주)CMG제약,058820,2010/12,11.86,17.25,-61.19,-30.38,-69.69,-21.79,0.46,0.82,2.98,7.74
(주)CMG제약,058820,2011/12,56.4,2.89,-7.12,2.63,-45.76,-15.38,0.65,0.97,13.32,38.11
(주)CMG제약,058820,2012/12,-8.43,106.87,-42.4,-9.57,-7.76,-3.46,0.38,0.65,-0.15,-0.95
(주)CMG제약,058820,2013/12,25.02,-1.8,1.65,1.46,-38.65,-4.78,0.36,0.5,12.42,77.44
(주)CMG제약,058820,2014/12,11.96,3.87,0.75,0.78,-17.44,-2.72,0.4,0.46,12.15,37.82
(주)CMG제약,058820,2015/12,18.85,-2.64,-13.49,-4.48,16.16,2.78,0.47,0.56,7.63,24.22
(주)ES큐브,050120,2010/12,22.59,1.32,-6.25,1.22,78.83,9.46,0.73,0.84,12.09,362.31
(주)ES큐브,050120,2011/12,20.38,-5.43,-7.03,-4.47,49.77,6.7,0.9,1.03,17.6,565.75
(주)ES큐브,050120,2012/12,5.94,-1.23,1.17,1.44,65.12,6.99,0.98,1.12,26,832.22
(주)ES큐브,050120,2013/12,3.72,6.34,-32.19,0.47,120.2,9.61,0.99,1.1,-12.05,-625.54
(주)ES큐브,050120,2014/12,-18.84,-5.46,-6.49,0.71,100.91,8.29,0.8,0.88,3.3,231.32
(주)ES큐브,050120,2015/12,-0.81,4.92,9.79,5.15,137.71,6.58,0.8,0.86,13.29,1050.25
(주)가비아,079940,2010/12,18.3,10.7,11.88,12.1,43.51,16.26,0.8,1.27,36.21,228.55
(주)가비아,079940,2011/12,29.64,8.47,9.65,10.97,50.98,17.77,0.94,1.47,40.27,209.64
(주)가비아,079940,2012/12,13.88,38.88,14.91,6.62,38.19,15.21,0.86,1.39,33.44,72.93
(주)가비아,079940,2013/12,5.26,0.69,9.35,5.84,44.01,14.62,0.78,1.23,32.33,74.16
(주)가비아,079940,2014/12,8.39,7.35,7.01,6.38,41.89,13.35,0.81,1.2,34.71,87.08
(주)가비아,079940,2015/12,10.34,2.99,8.85,7.98,62.05,16.35,0.85,1.2,38.92,101.03
(주)강스템바이오텍,217730,2015/12,0,0,-387.59,-20.52,-101.45,-15.21,0.06,0.07,-11.53,-96.67
(주)강원에너지,114190,2010/11,-20.83,-9.56,5.61,5.89,4.44,1.46,1.01,1.65,5.73,51.87
(주)강원에너지,114190,2011/11,64.02,87.32,11.46,16,23.38,12.72,1.22,2.29,23.91,328.31
(주)강원에너지,114190,2012/12,0,0,8.43,13.01,-5.92,-3.52,1.19,2.95,21.02,445.26
(주)강원에너지,114190,2013/12,-52.42,-18.84,7.74,4,26.03,9.55,0.63,1.24,16.92,291.66
(주)강원에너지,114190,2014/12,1.62,-7.46,2.18,2.33,7.16,1.77,0.74,1.07,12.7,87.35
(주)강원에너지,114190,2015/12,-5.11,20.74,1.81,1.19,7.59,2.44,0.66,0.93,11.33,94.49
(주)경윤하이드로에너지,019120,2010/12,54.13,-53.65,-380.34,-10.69,-49.53,-25.04,0.31,0.53,-184.21,-1739.14
(주)고려시멘트,198440,2014/12,,,,,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,,,,,
(주)고영테크놀러지,098460,2010/12,164.56,39.45,21.38,32.67,20.25,4.22,1.19,1.56,37.01,220.12
(주)고영테크놀러지,098460,2011/12,12.63,25.26,20.67,25.05,64.22,12.28,1.02,1.28,31.85,199.93
(주)고영테크놀러지,098460,2012/12,25.67,18.39,14.72,21.43,61.78,11.35,1.06,1.3,27.71,197.27
(주)고영테크놀러지,098460,2013/12,3.12,17.77,14.26,15.85,53.55,9.39,0.93,1.13,23.66,204.99
(주)고영테크놀러지,098460,2014/12,30.4,16.93,16.8,21.07,76.53,12.69,1.03,1.24,30.02,215
(주)고영테크놀러지,098460,2015/12,2.23,12.9,16.8,17.33,73.3,12.17,0.92,1.1,27.11,224.55
(주)골드앤에스,035290,2010/12,-0.99,-19.58,-17.56,-16.48,41.59,21.22,1.02,1.89,16.19,544.93
(주)골드앤에스,035290,2011/12,-5.87,4.59,2.32,3.07,37.06,18.96,1.05,2.14,31.63,1473.04
(주)골드앤에스,035290,2012/12,-7.65,10.17,-13.75,-4.85,22.37,10.87,0.9,1.8,15.46,927.25
(주)골드앤에스,035290,2013/12,-16.59,-32.42,-44.74,-11.64,0.16,0.11,0.86,2.03,-5.68,-241.73
(주)골드앤에스,035290,2014/12,-19.61,-16.3,-27.38,-7.32,-7.1,-4.87,0.93,3.11,6.25,359.48
(주)골드앤에스,035290,2015/12,-24.57,-18.3,-42.33,4.05,9.91,3.61,0.85,1.84,-15.85,-1247.5
(주)골프존,215000,2015/12,,,,,,,,,,
(주)골프존뉴딘홀딩스,121440,2011/12,13.82,105.39,22.69,19.72,229.01,15.43,0.76,0.83,17.55,133.48
(주)골프존뉴딘홀딩스,121440,2012/12,31.72,37.34,26.09,16.68,59.36,11.77,0.62,0.73,21.14,81.73
(주)골프존뉴딘홀딩스,121440,2013/12,23.04,15.09,1.32,15.32,45.13,12.42,0.62,0.81,15.25,75.4
(주)골프존뉴딘홀딩스,121440,2014/12,13.84,-0.57,16.42,17.23,45.8,8.82,0.66,0.86,18.83,62.19
(주)골프존뉴딘홀딩스,121440,2015/12,-92.41,-0.16,3028.36,-2.36,21.37,1.24,0.05,0.06,0.56,3.36
(주)광림,014200,2010/12,27.73,39.03,2.32,3.67,-3.96,-1.99,0.99,1.87,11.25,52.32
