번호,시간,회사명,종목코드,공시제목,제출인
70,2012-03-30 19:16,폴리플러스,065610,관리종목지정사유추가(사업보고서 미제출),코스닥시장본부
69,2012-03-30 19:16,미주제강,002670,관리종목지정사유추가(사업보고서 미제출 외 1건),코스닥시장본부
68,2012-03-30 18:04,미주제강,002670,관리종목지정사유추가(회생절차 개시신청 ),코스닥시장본부
67,2012-03-29 18:32,에이프로테크놀로지,045470,관리종목지정사유추가,코스닥시장본부
66,2012-03-29 17:13,인스프리트,073130,[정정]관리종목지정사유추가(정기주주총회 미개최 또는 재무제표 미승인),코스닥시장본부
65,2012-03-29 14:56,인스프리트,073130,관리종목지정사유추가(정기주주총회 미개최 또는 재무제표 미승인)[정],코스닥시장본부
64,2012-03-28 17:46,클루넷,067130,관리종목지정,코스닥시장본부
63,2012-03-28 16:57,한림창투,021060,관리종목 해제,코스닥시장본부
62,2012-03-28 14:15,지앤에스티,036920,관리종목지정,코스닥시장본부
61,2012-03-26 18:35,대국,042340,관리종목지정사유추가,코스닥시장본부
60,2012-03-26 07:25,디에이치패션,045260,관리종목지정(최근 4사업연도 연속 영업손실 발생 ),코스닥시장본부
59,2012-03-23 18:34,미리넷,056710,관리종목지정사유추가,코스닥시장본부
58,2012-03-23 17:46,엘앤씨피,015390,관리종목지정사유일부해제,코스닥시장본부
57,2012-03-22 21:10,폴리플러스,065610,관리종목지정(상장폐지사유 발생),코스닥시장본부
56,2012-03-22 21:05,미성포리테크,094700,[정정]관리종목지정사유추가,코스닥시장본부
55,2012-03-22 20:36,어울림 네트,042820,관리종목지정(자본잠식률 50% 이상 등),코스닥시장본부
54,2012-03-22 20:36,어울림정보,038320,관리종목지정(자본잠식률 50% 이상),코스닥시장본부
53,2012-03-22 20:16,미주제강,002670,관리종목지정(상장폐지사유 발생 ),코스닥시장본부
52,2012-03-22 20:16,비앤비성원,015200,관리종목지정(상장폐지사유 발생),코스닥시장본부
51,2012-03-22 19:57,미성포리테크,094700,관리종목지정사유추가[정],코스닥시장본부
50,2012-03-22 19:31,디브이에스,046400,관리종목지정사유추가및일부해제,코스닥시장본부
49,2012-03-22 19:22,코아에스앤아이,052350,관리종목지정사유추가,코스닥시장본부
48,2012-03-22 19:15,어울림엘시스,033280,관리종목지정,코스닥시장본부
47,2012-03-22 18:38,동양텔레콤,007150,관리종목지정(자본잠식률 50% 이상 등),코스닥시장본부
46,2012-03-22 18:24,서울리거,043710,관리종목 해제,코스닥시장본부
45,2012-03-22 18:22,무한투자,034510,관리종목지정,코스닥시장본부
