번호,시간,회사명,종목코드,공시제목,제출인
125,2019-07-19 17:35,레드로버,060300,관리종목지정(파산신청),코스닥시장본부
124,2019-07-18 20:17,SK3호스팩,232330,관리종목지정(SPAC 상장예비심사청구서 미제출 등)[정],코스닥시장본부
123,2019-07-15 18:03,화진,134780,관리종목지정사유추가(회생절차 개시신청),코스닥시장본부
122,2019-07-08 17:02,이매진아시아,036260,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부
121,2019-07-05 18:03,코오롱티슈진,950160,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부
120,2019-07-03 18:23,비유테크놀러지,230980,관리종목 해제(상장폐지 사유 해소),코스닥시장본부
119,2019-07-01 19:14,비츠로시스,054220,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
118,2019-07-01 16:13,에스에이치엔엘,050320,관리종목지정사유추가(최근 4사업연도 연속 영업손실 발생(2017사업연도)),코스닥시장본부
117,2019-06-27 14:26,인트로메딕,150840,관리종목 해제(파산 신청 사유 해소 ),코스닥시장본부
116,2019-06-25 18:23,인트로메딕,150840,관리종목지정(파산신청),코스닥시장본부
115,2019-05-28 18:16,리튬포어스,073570,관리종목 해제(상장유지 결정),코스닥시장본부
114,2019-05-24 17:41,대동기어,008830,관리종목 해제(주식분산기준미달 사유 해소 ),코스닥시장본부
113,2019-05-22 18:05,에스제이케이,080440,관리종목지정사유일부해제(파산 신청 사유 해소),코스닥시장본부
112,2019-05-17 18:18,MIT,038340,관리종목 해제(상장폐지 사유 해소 ),코스닥시장본부
111,2019-05-16 18:07,이베스트투자증권,078020,관리종목 해제(주식분산기준미달 사유 해소),코스닥시장본부
110,2019-05-15 19:12,썬텍,122800,관리종목지정사유추가(분기보고서 미제출),코스닥시장본부
109,2019-05-13 18:07,에스제이케이,080440,관리종목지정사유추가(파산신청),코스닥시장본부
108,2019-05-10 16:47,이스트아시아홀딩스,900110,관리종목지정사유일부해제(사업보고서 미제출 사유 해소 ),코스닥시장본부
107,2019-05-09 19:03,DSEN,065150,관리종목지정사유추가(상장폐지사유 발생 ),코스닥시장본부
106,2019-05-09 18:09,이스트아시아홀딩스,900110,관리종목지정사유추가(상장폐지사유 발생 ),코스닥시장본부
105,2019-05-03 18:58,한국가구,004590,관리종목 해제(주식분산기준미달 사유 해소 ),코스닥시장본부
104,2019-05-03 18:39,에스아이리소스,065420,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부
103,2019-04-30 18:21,이스트아시아홀딩스,900110,관리종목지정(사업보고서 미제출),코스닥시장본부
