회사명,거래소코드,회계년도,매출액증가율(IFRS),총자본증가율(IFRS),매출액순이익률(IFRS),총자본정상영업이익률(IFRS),CASH FLOW 대 부채비율(IFRS),CASH FLOW 대 총자본비율(IFRS),총자본회전률(IFRS),자기자본회전률(IFRS),총자본투자효율(IFRS),설비투자효율(IFRS)
(주)CMG제약,58820,2011/12,56.4,2.89,-7.12,2.63,-45.76,-15.38,0.65,0.97,13.32,38.11
(주)CMG제약,58820,2012/12,-8.43,106.87,-42.4,-9.57,-7.76,-3.46,0.38,0.65,-0.15,-0.95
(주)CMG제약,58820,2013/12,25.02,-1.8,1.65,1.46,-38.65,-4.78,0.36,0.5,12.42,77.44
(주)CMG제약,58820,2014/12,11.96,3.87,0.75,0.78,-17.44,-2.72,0.4,0.46,12.15,37.82
(주)ES큐브,50120,2011/12,20.38,-5.43,-7.03,-4.47,49.77,6.7,0.9,1.03,17.6,565.75
(주)ES큐브,50120,2012/12,5.94,-1.23,1.17,1.44,65.12,6.99,0.98,1.12,26.0,832.22
(주)ES큐브,50120,2013/12,3.72,6.34,-32.19,0.47,120.2,9.61,0.99,1.1,-12.05,-625.54
(주)ES큐브,50120,2014/12,-18.84,-5.46,-6.49,0.71,100.91,8.29,0.8,0.88,3.3,231.32
(주)가비아,79940,2011/12,29.64,8.47,9.65,10.97,50.98,17.77,0.94,1.47,40.27,209.64
(주)가비아,79940,2012/12,13.88,38.88,14.91,6.62,38.19,15.21,0.86,1.39,33.44,72.93
(주)가비아,79940,2013/12,5.26,0.69,9.35,5.84,44.01,14.62,0.78,1.23,32.33,74.16
(주)가비아,79940,2014/12,8.39,7.35,7.01,6.38,41.89,13.35,0.81,1.2,34.71,87.08
(주)고영테크놀러지,98460,2011/12,12.63,25.26,20.67,25.05,64.22,12.28,1.02,1.28,31.85,199.93
(주)고영테크놀러지,98460,2012/12,25.67,18.39,14.72,21.43,61.78,11.35,1.06,1.3,27.71,197.27
(주)고영테크놀러지,98460,2013/12,3.12,17.77,14.26,15.85,53.55,9.39,0.93,1.13,23.66,204.99
(주)고영테크놀러지,98460,2014/12,30.4,16.93,16.8,21.07,76.53,12.69,1.03,1.24,30.02,215.0
(주)골드앤에스,35290,2011/12,-5.87,4.59,2.32,3.07,37.06,18.96,1.05,2.14,31.63,1473.04
(주)골드앤에스,35290,2012/12,-7.65,10.17,-13.75,-4.85,22.37,10.87,0.9,1.8,15.46,927.25
(주)골드앤에스,35290,2013/12,-16.59,-32.42,-44.74,-11.64,0.16,0.11,0.86,2.03,-5.68,-241.73
(주)골드앤에스,35290,2014/12,-19.61,-16.3,-27.38,-7.32,-7.1,-4.87,0.93,3.11,6.25,359.48
(주)골프존뉴딘홀딩스,121440,2011/12,13.82,105.39,22.69,19.72,229.01,15.43,0.76,0.83,17.55,133.48
(주)골프존뉴딘홀딩스,121440,2012/12,31.72,37.34,26.09,16.68,59.36,11.77,0.62,0.73,21.14,81.73
(주)골프존뉴딘홀딩스,121440,2013/12,23.04,15.09,1.32,15.32,45.13,12.42,0.62,0.81,15.25,75.4
(주)골프존뉴딘홀딩스,121440,2014/12,13.84,-0.57,16.42,17.23,45.8,8.82,0.66,0.86,18.83,62.19
(주)광림,14200,2011/12,13.98,-21.74,2.43,5.35,12.77,4.39,1.08,1.91,18.18,66.07
(주)광림,14200,2012/12,-19.88,3.95,0.69,1.5,27.86,8.15,0.97,1.42,11.45,43.06
