회사명,거래소코드,회계년도,매출액증가율(IFRS),매출액순이익률(IFRS),총자본투자효율(IFRS),CASH FLOW 대 부채비율(IFRS),총자본회전률(IFRS)
(주)CMG제약,058820,2010/12,11.86,-61.19,2.98,-69.69,0.46
(주)CMG제약,058820,2011/12,56.4,-7.12,13.32,-45.76,0.65
(주)CMG제약,058820,2012/12,-8.43,-42.4,-0.15,-7.76,0.38
(주)CMG제약,058820,2013/12,25.02,1.65,12.42,-38.65,0.36
(주)CMG제약,058820,2014/12,11.96,0.75,12.15,-17.44,0.4
(주)CMG제약,058820,2015/12,18.85,-13.49,7.63,16.16,0.47
(주)CMG제약,058820,2016/12,21.92,5.14,9.48,29.03,0.39
(주)CMG제약,058820,2017/12,25.98,6.83,12.51,22.67,0.38
(주)CMG제약,058820,2018/12,20.05,12.16,14.73,13.63,0.45
(주)CMG제약,058820,2019/12,17.56,5.2,9.9,15.35,0.38
(주)CMG제약,058820,2020/12,9.96,0.33,8.71,20.27,0.33
(주)CMG제약,058820,2021/12,7.78,4.56,9.69,29.62,0.35
(주)CMG제약,058820,2022/12,18.31,-0.47,7.47,18.66,0.4
(주)ES큐브,050120,2010/12,22.59,-6.25,12.09,78.83,0.73
(주)ES큐브,050120,2011/12,20.38,-7.03,17.6,49.77,0.9
(주)ES큐브,050120,2012/12,5.94,1.17,26,65.12,0.98
(주)ES큐브,050120,2013/12,3.72,-32.19,-12.05,120.2,0.99
(주)ES큐브,050120,2014/12,-18.84,-6.49,3.3,100.91,0.8
(주)ES큐브,050120,2015/12,-0.81,9.79,13.29,137.71,0.8
(주)ES큐브,050120,2016/12,-5.61,50.17,19.3,10.11,0.46
(주)ES큐브,050120,2017/12,6.57,3.29,4.27,11.55,0.35
(주)ES큐브,050120,2018/12,-15.62,-12.25,0.16,4.89,0.29
(주)ES큐브,050120,2019/12,-8.88,-44.65,-4.82,1.22,0.23
(주)ES큐브,050120,2020/12,6.19,-96,-28.77,8.7,0.28
(주)ES큐브,050120,2021/12,35.69,13.85,7.83,12.43,0.52
(주)ES큐브,050120,2022/12,28.57,10.8,11.14,58.55,0.69
(주)가비아,079940,2010/12,18.3,11.88,36.21,43.51,0.8
(주)가비아,079940,2011/12,29.64,9.65,40.27,50.98,0.94
(주)가비아,079940,2012/12,13.88,14.91,33.44,38.19,0.86
(주)가비아,079940,2013/12,5.26,9.35,32.33,44.01,0.78
(주)가비아,079940,2014/12,8.39,7.01,34.71,41.89,0.81
(주)가비아,079940,2015/12,10.34,8.85,38.92,62.05,0.85
(주)가비아,079940,2016/12,2.03,7.17,37.82,61.89,0.83
(주)가비아,079940,2017/12,5.94,4.76,35.1,51.98,0.83
(주)가비아,079940,2018/12,5.41,5.01,35.79,45.97,0.82
(주)가비아,079940,2019/12,5.54,7.99,35.67,38.93,0.77
(주)가비아,079940,2020/12,10.03,7.42,31.84,37.19,0.71
(주)가비아,079940,2021/12,12.13,6.14,32.58,34.59,0.7
(주)가비아,079940,2022/12,7.72,9.5,29.61,27.24,0.63
(주)가온칩스,399720,2022/12,34.39,10.33,24.89,25.12,0.79
(주)강스템바이오텍,217730,2015/12,0,-387.59,-11.53,-101.45,0.06
(주)강스템바이오텍,217730,2016/12,-43.23,-984.85,-10.73,-23.7,0.02
(주)강스템바이오텍,217730,2017/12,540.04,-201.25,-4.77,-45.52,0.12
(주)강스템바이오텍,217730,2018/12,-81.44,-1348.69,-9.02,-59.12,0.02
(주)강스템바이오텍,217730,2019/12,-71.82,-8863.64,-16.76,-40.31,0
(주)강스템바이오텍,217730,2020/12,4.72,-6599.06,-17.7,-81.67,0
(주)강스템바이오텍,217730,2021/12,1171.84,-544.02,-10.57,-81.28,0.05
(주)강스템바이오텍,217730,2022/12,57.44,-334.16,-12.53,-100.16,0.07
(주)강원에너지,114190,2010/11,-20.83,5.61,5.73,4.44,1.01
(주)강원에너지,114190,2011/11,64.02,11.46,23.91,23.38,1.22
(주)강원에너지,114190,2012/12,0,8.43,21.02,-5.92,1.19
(주)강원에너지,114190,2013/12,-52.42,7.74,16.92,26.03,0.63
(주)강원에너지,114190,2014/12,1.62,2.18,12.7,7.16,0.74
(주)강원에너지,114190,2015/12,-5.11,1.81,11.33,7.59,0.66
