회사명,거래소코드,회계년도,매출액증가율(IFRS),매출액순이익률(IFRS),총자본투자효율(IFRS),CASH FLOW 대 부채비율(IFRS),총자본회전률(IFRS)
(주)CMG제약,058820,2012/12,-8.43,-42.4,-0.15,-7.76,0.38
(주)ES큐브,050120,2012/12,5.94,1.17,26,65.12,0.98
(주)가비아,079940,2012/12,13.88,14.91,33.44,38.19,0.86
(주)강원에너지,114190,2012/12,0,8.43,21.02,-5.92,1.19
(주)고영테크놀러지,098460,2012/12,25.67,14.72,27.71,61.78,1.06
(주)골드앤에스,035290,2012/12,-7.65,-13.75,15.46,22.37,0.9
(주)골프존뉴딘홀딩스,121440,2012/12,31.72,26.09,21.14,59.36,0.62
(주)광림,014200,2012/12,-19.88,0.69,11.45,27.86,0.97
(주)광무,029480,2012/12,-19.76,-37.4,-4.23,8.68,0.55
(주)구영테크,053270,2012/12,4.68,1.91,14.43,2.31,0.64
(주)국보디자인,066620,2012/12,-3.85,7.29,36.85,47.62,1.38
(주)국순당,043650,2012/12,-7.35,4.45,13.79,45.71,0.58
(주)국영지앤엠,006050,2012/12,2.85,11.04,21.17,-17.58,0.72
(주)그래디언트,035080,2012/12,17.36,141.64,10.74,-5.9,0.02
(주)글로벌스탠다드테크놀로지,083450,2012/12,54.38,8.61,43.98,19.44,1.27
(주)금화피에스시,036190,2012/12,30.8,17.08,68.09,102.82,1.08
(주)기산텔레콤,035460,2012/12,35.53,2.91,10.96,30.91,0.93
(주)나노신소재,121600,2012/12,-29.38,-5.7,12.3,-3.95,0.33
(주)나노엔텍,039860,2012/12,3.62,-47.32,-2.76,-19.72,0.29
(주)나이벡,138610,2012/12,43.42,-36.3,5.66,-6.08,0.23
(주)나이스디앤비,130580,2012/12,10.54,15.68,44.65,76.92,0.81
(주)네오리진,094860,2012/12,5.82,-11.32,2.05,15.54,0.61
(주)네오위즈,095660,2012/12,-0.62,0.64,19.86,20.25,0.97
(주)네오위즈홀딩스,042420,2012/12,45.78,120.78,6.85,29.03,0.07
(주)네오티스,085910,2012/12,19.86,12.33,23.63,48.37,0.5
(주)네오팜,092730,2012/12,10.8,3.45,14.95,53.31,0.55
(주)네이블커뮤니케이션즈,153460,2012/12,37.19,20.2,52.18,42.97,1.09
(주)네이처셀,007390,2012/12,19.35,-6.98,9.5,4.11,1.07
(주)네패스,033640,2012/12,19.22,7.51,24.23,17.78,0.88
(주)넥스턴바이오사이언스,089140,2012/12,-22.12,11.4,22.5,77.1,0.72
(주)넥스트아이,137940,2012/12,29.47,21.62,27.01,101.15,0.77
(주)노블엠앤비,106520,2012/12,43.23,10.92,32.31,15.49,1.16
(주)녹원씨엔아이,065560,2012/12,-33.42,-37.5,8.2,-32.16,1.08
(주)누리플랜,069140,2012/12,-24.84,-2.95,9.66,4.09,0.8
(주)누리플렉스,040160,2012/12,-28.88,-51.47,-13.5,14.76,0.42
(주)뉴보텍,060260,2012/12,-4.89,1,23.84,1.94,1.28
(주)뉴인텍,012340,2012/12,-16.15,-11.48,9.68,2.55,0.75
(주)뉴프렉스,085670,2012/12,70.89,1.08,18.34,0.18,1.31
(주)다날,064260,2012/12,-7.19,-5.47,-1.99,10.45,0.55
(주)다산네트웍스,039560,2012/12,-6.09,-10.32,6.17,55.15,0.65
(주)다우데이타,032190,2012/12,-38.17,3.44,4.94,1.93,0.32
(주)다원시스,068240,2012/12,20.39,11.5,20.64,16.35,0.57
(주)대동스틸,048470,2012/12,21.34,-0.21,4.08,9.61,1.85
(주)대륙제관,004780,2012/12,6.26,2.09,23.5,11.58,1.57
(주)대림제지,017650,2012/12,-2.14,16.41,22.42,65.66,0.75
(주)대명소노시즌,007720,2012/12,44.29,-91.7,-5.81,-168.21,0.14
(주)대성미생물연구소,036480,2012/12,-4.76,2.73,25.64,35.95,0.63
(주)대성파인텍,104040,2012/12,8.07,10.53,26.14,34.72,0.87
(주)대창솔루션,096350,2012/12,-12.63,-3.34,7.78,17.27,0.5
(주)대한과학,131220,2012/12,14.89,3.79,26.59,-2.9,1.25
(주)대호특수강,021040,2012/12,3.06,-5.11,1.63,0.67,1.27
(주)동국알앤에스,075970,2012/12,-17.55,0.21,10.14,21.99,0.79
(주)동국에스엔씨,100130,2012/12,19.77,5.27,4.69,5.57,0.48
(주)동방선기,099410,2012/12,-21.28,-7.05,1.19,5.65,0.33
(주)동성화인텍,033500,2012/12,34.77,4.24,18.55,-6.88,0.95
(주)동아엘텍,088130,2012/12,-13.52,2.36,9.19,11.17,0.48
(주)동양에스텍,060380,2012/12,-4.38,-2.02,1.62,-0.37,1.48
(주)동우팜투테이블,088910,2012/12,-2.02,1.11,13.64,23.02,1.51
(주)동원개발,013120,2012/12,77.87,8.96,14.82,6.66,1.03
(주)동일기연,032960,2012/12,-22.16,19.3,26.93,139.64,0.59
(주)동진쎄미켐,005290,2012/12,19.51,2.48,19.6,3.72,1.08
(주)듀오백,073190,2012/12,-11.72,1.98,11.8,62.57,0.69
(주)드래곤플라이,030350,2012/12,-7.81,-18.95,0.21,20.28,0.27
(주)드림어스컴퍼니,060570,2012/12,-0.16,-20.2,-23.75,-26.88,1.25
(주)디모아,016670,2012/12,13.58,6.03,15.88,19.11,1.68
(주)디스플레이테크,066670,2012/12,65.17,5.81,18.31,13.51,1.87
(주)디에스이엔,065150,2012/12,11.48,2.04,39.68,34.34,2.19
(주)디에스케이,109740,2012/12,-48.68,-3.77,9.16,-23.34,0.5
(주)디에이치오토웨어,025440,2012/12,4.21,-0.26,21.42,13.12,2.11
(주)디에이피,066900,2012/12,45.76,6.76,48.95,27.61,1.48
(주)디엔에이링크,127120,2012/12,9.69,2.69,14.77,-13.08,0.4
(주)디엔에프,092070,2012/12,7.28,1.73,18.39,4.26,0.44
(주)디엠에스,068790,2012/12,-59.08,-53.7,-8.91,3.55,0.29
(주)디오,039840,2012/12,-14.92,-15.44,15.11,9.51,0.4
(주)디이엔티,079810,2012/12,-32.67,3.3,19.83,30.28,0.94
(주)디지아이,043360,2012/12,14.3,2.82,4.65,19.46,0.52
(주)디지털대성,068930,2012/12,5.14,6.01,24.62,59.52,0.91
(주)디지틀조선일보,033130,2012/12,2.75,15.42,40.04,180.33,0.7
(주)딜리,131180,2012/12,10.24,10.86,13.07,89.98,0.69
(주)라이트론,069540,2012/12,17.75,10.95,21.42,8.07,0.99
(주)레드캡투어,038390,2012/12,12.18,9.57,46.78,78.49,0.69
(주)로보스타,090360,2012/12,-26.44,-5.47,15.34,10.41,1.04
(주)루멘스,038060,2012/12,43.56,3.55,18.31,23.03,1.83
(주)룽투코리아,060240,2012/12,24.66,-4.96,9.94,9.09,0.96
(주)리노스,039980,2012/12,44.08,6.15,25.81,35.47,1.55
(주)리더스코스메틱,016100,2012/12,19.62,-5.41,8.57,4.39,0.77
(주)리드코프,012700,2012/12,13.64,10.54,14.03,-15.53,0.67
(주)리튬포어스,073570,2012/12,-57.95,-75.37,-19.93,4.83,0.31
(주)링네트,042500,2012/12,9.79,5.29,24.96,8.88,1.33
(주)마이크로컨텍솔루션,098120,2012/12,3.97,19.06,37.59,150.7,0.97
(주)마크로젠,038290,2012/12,39.27,8.16,22.97,35.8,0.62
(주)매커스,093520,2012/12,-0.22,8.47,18.33,14.23,1.09
(주)멀티캠퍼스,067280,2012/12,26,6.21,24.47,48.89,0.85
(주)메디콕스,054180,2012/06,25.07,-24.75,-4.66,3.8,0.56
(주)메디톡스,086900,2012/12,67.08,42.57,38.98,65.42,0.59
(주)메디프론디비티,065650,2012/12,-33.24,-24.33,-0.8,-19.72,0.24
(주)메지온,140410,2012/12,69.59,27.75,3.99,20.35,0.17
(주)메타바이오메드,059210,2012/12,14.9,8.23,15.67,14.22,0.47
(주)모다이노칩,080420,2012/12,2.24,20.25,39.96,105.85,0.69
(주)모두투어네트워크,080160,2012/12,9.7,13,44.2,30.16,0.98
(주)모베이스,101330,2012/12,37.17,3.28,15.36,43.89,0.98
(주)모베이스전자,012860,2012/12,13.41,-2.34,19.85,3.29,1.47
(주)모헨즈,006920,2012/12,4.27,1.33,20.44,16.94,1.38
(주)무궁화인포메이션테크놀로지,038340,2012/12,78.19,-7.8,3.46,-5.52,1.66
(주)미래컴퍼니,049950,2012/12,-10.75,14.34,28.47,-3.64,0.85
