회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,산업명,[제조]총자본증가율(IFRS연결),[제조]유형자산증가율(IFRS연결),[제조]비유동자산증가율(IFRS연결),[제조]유동자산증가율(IFRS연결),[제조]재고자산증가율(IFRS연결),[제조]자기자본증가율(IFRS연결),[제조]매출액증가율(IFRS연결),[제조]순이익증가율(IFRS연결),[제조]매출액총이익률(IFRS연결),[제조]매출액순이익률(IFRS연결),[제조]자기자본순이익률(IFRS연결),[제조]총자본사업이익률(IFRS연결)(원),[제조]총자본순이익률(IFRS연결)(원),[제조]1주당매출액(IFRS연결),[제조]1주당순이익(IFRS연결),[제조]유동비율(IFRS연결),[제조]당좌비율(IFRS연결),[제조]현금비율(IFRS연결),[제조]순운전자본비율(IFRS연결),[제조]부채비율(IFRS연결),[제조]이자보상배율(이자비용)(IFRS연결),[제조]비유동비율(IFRS연결),[제조]유동자산구성비율(IFRS연결),[제조]자기자본구성비율(IFRS연결),[제조]자기자본배율(IFRS연결),[제조]총자본회전률(IFRS연결),[제조]자기자본회전률(IFRS연결),[제조]비유동자산회전률(IFRS연결),[제조]재고자산회전률(IFRS연결),[제조]매출채권회전률(IFRS연결),[제조]매입채무회전률(IFRS연결),[제조]매입채무회전기간(IFRS연결),[제조]재고자산회전기간(IFRS연결),[제조]매출채권회전기간(IFRS연결),[제조]1회전기간(IFRS연결),[제조]운전자본회전률(IFRS연결),[제조]순운전자본회전률(IFRS연결),[제조]유형자산회전율(IFRS연결)(백만원),[제조]유동자산회전률(IFRS연결),[제조]당좌자산회전률(IFRS연결),[제조]부가가치(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결)
(주)CMG제약,058820,2011/12,2001/08/31,,5,    의약품 제조업,1.98,-5.9,-12.89,17.64,-1.43,-2.02,56.4,0,41.83,-8.5,-8.28,2.52,-5.58,406.28,-35,200.97,165.03,15.1,28.23,51.41,3.53,66.34,56.18,66.05,82.55,0.66,0.97,1.38,6.42,2.45,11.95,30.53,56.81,148.8,0.01,0,0.86,1.77,1.25,1.55,3472.17,12.72,35.86,128.51,19.56,89.82,10.18,-43.44
(주)CMG제약,058820,2012/12,2001/08/31,,5,    의약품 제조업,109.15,-4.12,-16.43,207.08,7.73,75.17,-8.43,0,28.34,-40.97,-26.84,-9.65,-15.78,332.74,-138,693.49,649.98,68.81,70.6,80.77,-7.75,31.65,82.49,55.32,95.69,0.39,0.66,1.48,5.71,1.85,7.83,46.62,63.97,197.16,0,0,0.42,1.71,0.52,0.57,269.31,0.47,2.89,10.67,1.66,1749.87,-1649.87,-2473.07
(주)CMG제약,058820,2013/12,2001/08/31,,5,    의약품 제조업,-2.09,16.09,77.05,-18.89,56.29,55.1,25.51,0,38.7,1.45,0.74,2.81,0.52,235.52,4.16,694.71,610.74,394.63,58.5,14.11,0.7,36.13,68.34,87.63,113.12,0.36,0.51,1.47,5.39,2.07,6.2,58.88,67.75,176.2,0.01,0.79,0.42,2.03,0.48,0.52,6994.9,12.51,77.91,289.4,34.29,71.28,28.72,4.23
(주)ES큐브,050120,2011/12,2002/04/25,,5,    생활용품 도매업,0,0,0,0,0,0,0,0,27.92,-8.99,-12.61,-5.61,-8.65,2296.51,-206,230.24,194.35,21.35,34.75,41.36,-245.99,54.53,61.43,70.74,327.25,0.96,1.36,2.49,10.05,4.27,19.72,18.51,36.32,85.45,0.01,0,1.09,12.37,1.57,1.86,12044.17,21.71,279.2,1125.26,22.56,120.2,-20.2,-39.82
(주)ES큐브,050120,2012/12,2002/04/25,,5,    생활용품 도매업,0,0,0,0,0,0,0,0,28.02,-0.64,0.29,1.1,-0.78,2392.63,5,472.77,371.91,84.78,38.68,16.11,1.72,59.14,49.06,86.12,335.11,1.21,1.4,2.37,11.55,12.19,36.32,10.05,31.59,29.94,0.02,0,2.03,17.59,2.46,3.13,17991.74,38.87,565.49,2009.57,32.14,86.11,13.89,-2
(주)ES큐브,050120,2013/12,2002/04/25,,5,    생활용품 도매업,1.85,-31.56,-62.76,68.92,29.33,6.4,4.69,0,24.76,-28.08,-40.47,-1.77,-35.23,1862.12,-520,1056.51,883.95,278.73,73.67,11.25,-37.44,20.72,81.37,89.89,228.55,1.25,1.43,3.62,10.55,15.18,47.35,7.71,34.6,24.04,0.02,0,1.69,21.87,1.92,2.35,1434.39,3.04,65.87,225.06,2.45,1052.79,-952.79,-1147.24
(주)가비아,079940,2011/12,2005/10/19,,5,    소프트웨어 개발 및 공급업,22.76,11.47,22.02,23.7,-53.95,20.26,30.07,9.94,44.79,13.28,18.06,14.9,11.9,4148.88,372,207.38,207.27,86.37,22.99,33.47,22.28,74.21,44.4,74.92,432.15,0.9,1.23,1.61,2306.01,12.66,111.27,3.28,0.16,28.83,0.04,0,1.41,2.51,2.03,2.03,25788.11,39.7,116.43,1336.55,48.81,47.92,52.08,27.2
(주)가비아,079940,2012/12,2005/10/19,,5,    소프트웨어 개발 및 공급업,31.24,70.81,47.43,10.96,1619.44,28.11,30.7,46.89,41.64,13.64,21.3,15.82,12.54,5178.45,524,215.35,213.68,87.48,20.11,44.62,15.43,90.33,37.54,69.15,528.7,0.92,1.28,1.55,525.34,12.67,46.71,7.81,0.69,28.81,0.05,0,1.54,2.3,2.27,2.28,31058.09,36.43,82.09,823.51,44.97,49.79,50.21,30.33
(주)가비아,079940,2013/12,2005/10/19,,5,    소프트웨어 개발 및 공급업,7.02,-2.08,1.07,16.92,-62.32,16.43,2.34,-10.69,44.98,13.45,15.65,11.65,10.77,5299.73,465,249.42,248.8,82.18,24.57,32.99,15.81,78.45,41.01,75.19,615.59,0.8,1.11,1.32,413.22,11.61,32.25,11.32,0.88,31.43,0.05,0,1.42,1.89,2.04,2.05,32828.8,35.98,88.61,1037.87,46.45,51.67,48.33,28.96
(주)강원에너지,114190,2011/11,2009/11/20,,5,"    구조용 금속제품, 탱크 및 증기발생기 제조업",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
