,회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,산업명,[제조]매출액증가율(IFRS연결),[제조]자기자본순이익률(IFRS연결),[제조]매출액순이익률(IFRS연결),[제조]유동비율(IFRS연결),[제조]자기자본구성비율(IFRS연결),[제조]총자본회전률(IFRS연결),[제조]자기자본회전률(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]순이익증가율(IFRS연결),상장폐지사유,회계월,상장년도,회계년,연차
0,(주)금빛,45890,2011-12-01,2005-11-28,2021-12-20,4,  전기장비 제조업,-24.64,-59.57,-58.01,104.65,40.2,0.43,1.07,-18.45,-46.14,0.0,,12,2005,2011,6
1,(주)금빛,45890,2012-12-01,2005-11-28,2021-12-20,4,  전기장비 제조업,27.92,-14.7,-8.84,83.68,41.82,0.69,1.69,7.45,16.92,0.0,,12,2005,2012,7
2,(주)금빛,45890,2013-12-01,2005-11-28,2021-12-20,4,  전기장비 제조업,22.98,6.85,3.27,73.49,41.77,0.87,2.09,21.84,53.79,0.0,,12,2005,2013,8
3,(주)금빛,45890,2014-12-01,2005-11-28,2021-12-20,4,  전기장비 제조업,-6.51,3.68,1.97,74.14,41.42,0.78,1.86,21.27,54.96,-43.56,,12,2005,2014,9
4,(주)금빛,45890,2015-12-01,2005-11-28,2021-12-20,4,  전기장비 제조업,2.58,6.54,3.62,87.38,43.83,0.77,1.81,21.35,56.24,88.01,,12,2005,2015,10
5,(주)금빛,45890,2016-12-01,2005-11-28,2021-12-20,4,  전기장비 제조업,-10.77,5.21,3.5,100.63,47.8,0.68,1.49,20.31,54.94,-13.73,,12,2005,2016,11
6,(주)금빛,45890,2017-12-01,2005-11-28,2021-12-20,4,  전기장비 제조업,-3.64,-11.04,-7.4,135.38,40.91,0.66,1.49,15.17,41.76,-304.0,,12,2005,2017,12
7,(주)금빛,45890,2018-12-01,2005-11-28,2021-12-20,4,  전기장비 제조업,-27.08,-14.04,-12.5,112.13,48.56,0.5,1.12,9.99,18.7,0.0,,12,2005,2018,13
8,(주)금빛,45890,2019-12-01,2005-11-28,2021-12-20,4,  전기장비 제조업,10.33,-91.08,-62.78,55.42,30.17,0.57,1.45,-15.16,-27.96,0.0,,12,2005,2019,14
9,(주)금빛,45890,2020-12-01,2005-11-28,2021-12-20,4,  전기장비 제조업,-30.22,-43.72,-43.47,68.34,40.99,0.36,1.01,0.22,0.45,0.0,,12,2005,2020,15
10,(주)나노트로닉스,10670,2011-12-01,1996-05-14,2014-04-11,4,"  의료, 정밀, 광학기기 및 시계 제조업",-15.82,-8.09,-9.94,129.2,41.73,0.36,0.81,4.26,265.56,0.0,,12,1996,2011,15
11,(주)나노트로닉스,10670,2012-12-01,1996-05-14,2014-04-11,4,"  의료, 정밀, 광학기기 및 시계 제조업",13.53,-14.7,-16.38,128.9,44.7,0.39,0.9,2.22,266.99,0.0,,12,1996,2012,16
12,(주)네오퍼플,28090,2011-12-01,1996-11-29,2013-05-03,4,  식료품 제조업,0.0,-33.54,-16.22,85.06,37.83,0.75,1.99,-0.66,-2.28,0.0,,12,1996,2011,15
