회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,[제조]매출액증가율(IFRS연결),[제조]순이익증가율(IFRS연결),[제조]매출액순이익률(IFRS연결),[제조]자기자본순이익률(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]자기자본구성비율(IFRS연결),[제조]유동비율(IFRS연결),[제조]총자본회전률(IFRS연결),[제조]자기자본회전률(IFRS연결)
(주)구스앤홈,329050,17-Dec,2019-07-12,2021-04-13,4,,,,,,,,,,
(주)구스앤홈,329050,18-Dec,2019-07-12,2021-04-13,4,,,,,,,,,,
(주)구스앤홈,329050,19-Dec,2019-07-12,2021-04-13,4,,,,,,,,,,
(주)구스앤홈,329050,20-Dec,2019-07-12,2021-04-13,4,,,,,,,,,,
(주)극동자동화,272420,14-Dec,2017-06-28,2018-11-15,4,,,,,,,,,,
(주)극동자동화,272420,15-Dec,2017-06-28,2018-11-15,4,,,,,,,,,,
(주)극동자동화,272420,16-Dec,2017-06-28,2018-11-15,4,,,,,,,,,,
(주)극동자동화,272420,17-Dec,2017-06-28,2018-11-15,4,,,,,,,,,,
(주)금빛,45890,11-Dec,2005-11-28,2021-12-20,4,-24.64,0.0,-58.01,-59.57,-18.45,-46.14,40.2,104.65,0.43,1.07
(주)금빛,45890,12-Dec,2005-11-28,2021-12-20,4,27.92,0.0,-8.84,-14.7,7.45,16.92,41.82,83.68,0.69,1.69
(주)금빛,45890,13-Dec,2005-11-28,2021-12-20,4,22.98,0.0,3.27,6.85,21.84,53.79,41.77,73.49,0.87,2.09
(주)금빛,45890,14-Dec,2005-11-28,2021-12-20,4,-6.51,-43.56,1.97,3.68,21.27,54.96,41.42,74.14,0.78,1.86
(주)금빛,45890,15-Dec,2005-11-28,2021-12-20,4,2.58,88.01,3.62,6.54,21.35,56.24,43.83,87.38,0.77,1.81
(주)금빛,45890,16-Dec,2005-11-28,2021-12-20,4,-10.77,-13.73,3.5,5.21,20.31,54.94,47.8,100.63,0.68,1.49
