총자본순이익률_차이,총자본순이익률_비율,총자본순이익률_상위10개_차이,총자본순이익률_상위10개_변동성,총자본순이익률_산업평균_차이,총자본순이익률_산업평균_변동성,매출액증가율_차이,매출액증가율_비율,매출액증가율_상위10개_차이,매출액증가율_상위10개_변동성,매출액증가율_산업평균_차이,매출액증가율_산업평균_변동성,자기자본순이익률_차이,자기자본순이익률_비율,자기자본순이익률_상위10개_차이,자기자본순이익률_상위10개_변동성,자기자본순이익률_산업평균_차이,자기자본순이익률_산업평균_변동성,매출액순이익률_차이,매출액순이익률_비율,매출액순이익률_상위10개_차이,매출액순이익률_상위10개_변동성,매출액순이익률_산업평균_차이,매출액순이익률_산업평균_변동성,유동비율_차이,유동비율_비율,유동비율_상위10개_차이,유동비율_상위10개_변동성,유동비율_산업평균_차이,유동비율_산업평균_변동성,자기자본구성비율_차이,자기자본구성비율_비율,자기자본구성비율_상위10개_차이,자기자본구성비율_상위10개_변동성,자기자본구성비율_산업평균_차이,자기자본구성비율_산업평균_변동성,총자본회전률_차이,총자본회전률_비율,총자본회전률_상위10개_차이,총자본회전률_상위10개_변동성,총자본회전률_산업평균_차이,총자본회전률_산업평균_변동성,자기자본회전률_차이,자기자본회전률_비율,자기자본회전률_상위10개_차이,자기자본회전률_상위10개_변동성,자기자본회전률_산업평균_차이,자기자본회전률_산업평균_변동성,총자본투자효율_차이,총자본투자효율_비율,총자본투자효율_상위10개_차이,총자본투자효율_상위10개_변동성,총자본투자효율_산업평균_차이,총자본투자효율_산업평균_변동성,설비투자효율_차이,설비투자효율_비율,설비투자효율_상위10개_차이,설비투자효율_상위10개_변동성,설비투자효율_산업평균_차이,설비투자효율_산업평균_변동성,순이익증가율_차이,순이익증가율_비율,순이익증가율_상위10개_차이,순이익증가율_상위10개_변동성,순이익증가율_산업평균_차이,순이익증가율_산업평균_변동성,label
2.4,0.68,-16.13,16.13,6.56,6.56,47.37,-2.05,-825.12,825.12,7.34,7.34,5.73,0.74,-36.72,36.72,17.04,17.04,1.28,0.5,-107.39,107.39,13.36,13.36,7.03,0.07,-2437.72,2437.72,-157.05,157.05,-2.78,-0.06,-51.03,51.03,-12.51,12.51,0.17,0.12,-1.94,1.94,0.62,0.62,0.36,0.12,-10.82,10.82,1.36,1.36,8.82,0.3,-39.21,39.21,20.45,20.45,79.85,0.47,-9366.24,9366.24,9.54,9.54,158.06,-2.43,-3812.41,3812.41,29.34,29.34,0.0
-2.22,0.08,-52.36,52.36,-29.67,29.67,11.95,-0.73,-853.73,853.73,-21.27,21.27,-47.39,1.32,-133.54,133.54,-79.77,79.77,208.79,-0.96,-128.93,128.93,-8.18,8.18,-20.01,-0.14,-2434.07,2434.07,-153.4,153.4,-39.63,-0.52,-59.31,59.31,-20.79,20.79,0.91,3.34,-1.79,1.79,0.77,0.77,2.84,5.46,-9.51,9.51,2.67,2.67,38.92,-1.11,-73.28,73.28,-13.62,13.62,420.93,-1.18,-9551.93,9551.93,-176.15,176.15,0.0,0.0,-3905.49,3905.49,-63.74,63.74,0.0
-18.72,6.04,-43.89,43.89,-21.2,21.2,7.76,-0.43,-859.79,859.79,-27.33,27.33,-41.82,7.82,-97.38,97.38,-43.61,43.61,-47.87,12.4,-162.94,162.94,-42.19,42.19,0.53,0.01,-2455.51,2455.51,-174.84,174.84,-10.74,-0.19,-49.33,49.33,-10.81,10.81,-0.38,-0.48,-3.08,3.08,-0.52,0.52,-0.48,-0.35,-13.3,13.3,-1.12,1.12,-7.47,-1.32,-79.08,79.08,-19.42,19.42,-30.78,-1.16,-9621.3,9621.3,-245.52,245.52,0.0,0.0,-3905.49,3905.49,-63.74,63.74,0.0
-0.24,1.26,-22.5,22.5,0.19,0.19,18.96,-1.14,-846.98,846.98,-14.52,14.52,-0.49,1.23,-51.1,51.1,2.67,2.67,-0.19,1.27,-111.55,111.55,9.2,9.2,17.25,0.11,-2378.78,2378.78,-98.11,98.11,0.01,0.0,-47.19,47.19,-8.67,8.67,0.03,0.02,-2.23,2.23,0.33,0.33,-0.04,-0.02,-11.6,11.6,0.58,0.58,-2.68,-0.16,-63.17,63.17,-3.51,3.51,-10.33,-0.14,-9550.98,9550.98,-175.2,175.2,0.0,0.0,-3905.49,3905.49,-63.74,63.74,0.0
-0.67,-0.19,-19.23,19.23,3.46,3.46,11.4,3.93,-835.04,835.04,-2.58,2.58,-0.55,-0.11,-45.58,45.58,8.18,8.18,-0.86,-0.21,-108.02,108.02,12.73,12.73,-44.37,-0.26,-2425.51,2425.51,-144.84,144.84,-3.64,-0.05,-32.3,32.3,6.22,6.22,0.02,0.02,-2.61,2.61,-0.05,0.05,0.12,0.1,-12.84,12.84,-0.66,0.66,-0.08,-0.01,-66.32,66.32,-6.66,6.66,3.04,0.07,-9569.26,9569.26,-193.48,193.48,-9.83,-3.59,-3912.58,3912.58,-70.83,70.83,0.0
9.08,-1.44,-19.29,19.29,3.4,3.4,38.9,-4.78,-818.57,818.57,13.89,13.89,25.98,-1.43,-42.38,42.38,11.38,11.38,10.54,-1.34,-108.53,108.53,12.22,12.22,35.08,0.33,-2412.87,2412.87,-132.2,132.2,3.15,0.09,-58.81,58.81,-20.29,20.29,0.24,0.3,-2.46,2.46,0.1,0.1,0.56,0.24,-11.27,11.27,0.91,0.91,11.99,0.86,-51.26,51.26,8.4,8.4,46.07,0.97,-9523.37,9523.37,-147.59,147.59,0.0,0.0,-3905.49,3905.49,-63.74,63.74,0.0
-5.65,-4.96,-26.58,26.58,-3.89,3.89,9.5,-1.27,-847.32,847.32,-14.86,14.86,-6.21,-5.26,-55.24,55.24,-1.47,1.47,-18.42,-5.22,-126.1,126.1,-5.35,5.35,332.53,0.14,-229.53,819.5,1637.68,2443.43,-12.59,-0.13,-11.83,11.83,26.69,26.69,-0.02,-0.06,-3.2,3.2,-0.64,0.64,0.01,0.03,-13.87,13.87,-1.69,1.69,-5.06,-0.91,-76.75,76.75,-17.09,17.09,-8.39,-0.89,-9616.03,9616.03,-240.25,240.25,0.0,0.0,-3905.49,3905.49,-63.74,63.74,0.0
1.28,0.88,-19.33,19.33,3.36,3.36,-8.3,-0.5,-840.91,840.91,-8.45,8.45,6.27,0.78,-35.94,35.94,17.82,17.82,1.79,0.96,-107.56,107.56,13.19,13.19,1.53,0.01,-2448.89,2448.89,-168.22,168.22,-0.08,-0.0,-70.35,70.35,-31.83,31.83,-0.04,-0.05,-2.75,2.75,-0.19,0.19,0.01,0.0,-11.25,11.25,0.93,0.93,0.11,0.0,-45.94,45.94,13.72,13.72,-63.52,-0.26,-9438.5,9438.5,-62.72,62.72,109.62,-10.73,-3806.09,3806.09,35.66,35.66,0.0
-5.41,-1.05,-22.35,22.35,0.34,0.34,1.99,0.62,-844.12,844.12,-11.66,11.66,-5.23,-0.95,-49.92,49.92,3.85,3.85,-16.02,-1.02,-111.53,111.53,9.22,9.22,-927.24,-0.84,-2443.19,2443.19,-162.52,162.52,-40.85,-0.58,-55.84,55.84,-17.32,17.32,0.53,1.61,-2.64,2.64,-0.08,0.08,1.81,5.17,-12.05,12.05,0.13,0.13,-4.09,-0.28,-66.71,66.71,-7.05,7.05,-13.14,-0.27,-9582.15,9582.15,-206.37,206.37,-44.75,1.1,-3990.99,3990.99,-149.24,149.24,0.0
7.36,-0.42,-32.12,32.12,-9.43,9.43,2.67,1.71,-845.11,845.11,-12.65,12.65,21.2,-0.46,-75.08,75.08,-21.31,21.31,22.08,-0.59,-126.34,126.34,-5.59,5.59,36.5,1.82,-2496.37,2496.37,-215.7,215.7,12.58,0.37,-48.98,48.98,-10.46,10.46,0.19,0.4,-2.84,2.84,-0.28,0.28,0.4,0.32,-12.57,12.57,-0.39,0.39,6.57,0.42,-54.98,54.98,4.68,4.68,16.41,0.79,-9579.79,9579.79,-204.01,204.01,19.06,-1.01,-3905.22,3905.22,-63.47,63.47,0.0
