,회계년도,총자본순이익률_차이,총자본순이익률_비율,총자본순이익률_상위10개_차이,총자본순이익률_상위10개_변동성,총자본순이익률_산업평균_차이,총자본순이익률_산업평균_변동성,매출액증가율_차이,매출액증가율_비율,매출액증가율_상위10개_차이,매출액증가율_상위10개_변동성,매출액증가율_산업평균_차이,매출액증가율_산업평균_변동성,자기자본순이익률_차이,자기자본순이익률_비율,자기자본순이익률_상위10개_차이,자기자본순이익률_상위10개_변동성,자기자본순이익률_산업평균_차이,자기자본순이익률_산업평균_변동성,매출액순이익률_차이,매출액순이익률_비율,매출액순이익률_상위10개_차이,매출액순이익률_상위10개_변동성,매출액순이익률_산업평균_차이,매출액순이익률_산업평균_변동성,유동비율_차이,유동비율_비율,유동비율_상위10개_차이,유동비율_상위10개_변동성,유동비율_산업평균_차이,유동비율_산업평균_변동성,자기자본구성비율_차이,자기자본구성비율_비율,자기자본구성비율_상위10개_차이,자기자본구성비율_상위10개_변동성,자기자본구성비율_산업평균_차이,자기자본구성비율_산업평균_변동성,총자본회전률_차이,총자본회전률_비율,총자본회전률_상위10개_차이,총자본회전률_상위10개_변동성,총자본회전률_산업평균_차이,총자본회전률_산업평균_변동성,자기자본회전률_차이,자기자본회전률_비율,자기자본회전률_상위10개_차이,자기자본회전률_상위10개_변동성,자기자본회전률_산업평균_차이,자기자본회전률_산업평균_변동성,총자본투자효율_차이,총자본투자효율_비율,총자본투자효율_상위10개_차이,총자본투자효율_상위10개_변동성,총자본투자효율_산업평균_차이,총자본투자효율_산업평균_변동성,설비투자효율_차이,설비투자효율_비율,설비투자효율_상위10개_차이,설비투자효율_상위10개_변동성,설비투자효율_산업평균_차이,설비투자효율_산업평균_변동성,순이익증가율_차이,순이익증가율_비율,순이익증가율_상위10개_차이,순이익증가율_상위10개_변동성,순이익증가율_산업평균_차이,순이익증가율_산업평균_변동성,label
0,2012-12-01,-10.2,1.83,-46.71,46.71,-15.81,15.81,-64.83,-1.15,-184.41,184.41,-17.11,17.11,-18.56,2.24,-98.13,98.13,116.69,116.69,-32.47,3.82,-108.38,108.38,-20.69,20.69,492.52,2.45,-1983.76,1983.76,414.62,414.62,-10.73,-0.16,-40.46,40.46,-2.19,2.19,-0.27,-0.41,-3.13,3.13,-0.52,0.52,-0.31,-0.32,-13.4,13.4,-1.32,1.32,-12.25,-0.96,-76.7,76.7,-15.89,15.89,-32.97,-0.92,-25224.89,25224.89,-405.73,405.73,0.0,0.0,-941.44,941.44,-25.06,25.06,0.0
1,2013-12-01,16.3,-1.03,-21.55,21.55,1.14,1.14,33.94,-4.03,-823.83,823.83,8.63,8.63,27.58,-1.03,-49.46,49.46,4.3,4.3,42.42,-1.04,-109.76,109.76,10.99,10.99,1.22,0.0,-1858.17,1858.17,422.5,422.5,32.31,0.58,-8.03,8.03,30.49,30.49,-0.03,-0.08,-3.14,3.14,-0.58,0.58,-0.15,-0.23,-13.7,13.7,-1.52,1.52,12.04,10.06,-64.75,64.75,-5.09,5.09,75.02,20.19,-9539.14,9539.14,-163.36,163.36,0.0,0.0,-3905.49,3905.49,-63.74,63.74,0.0
2,2014-12-01,-0.24,-0.46,-32.29,32.29,1.19,1.19,-13.99,-0.55,-237.71,237.71,5.23,5.23,-0.42,-0.57,-59.29,59.29,6.26,6.26,-0.76,-0.52,-116.46,116.46,19.53,19.53,-370.13,-0.53,-210721.28,210721.28,-2503.11,2503.11,-3.24,-0.04,-11.22,11.22,25.92,25.92,0.04,0.11,-2.62,2.62,-0.49,0.49,-0.05,-0.1,-10.8,10.8,-1.41,1.41,-0.35,-0.03,-74.52,74.52,-4.95,4.95,-40.11,-0.51,-11298.82,11298.82,-152.66,152.66,-46.64,-2001.35,-646159.53,646159.59,-7973.11,7975.0,0.0
3,2015-12-01,-6.65,-23.75,-56.64,56.64,-6.48,6.48,7.33,0.64,-472.31,472.31,8.12,8.12,-7.94,-24.81,-89.73,89.73,-4.33,4.33,-14.19,-20.57,-166.62,166.62,-5.01,5.01,-27.73,-0.09,-3899.45,3899.45,-9.08,9.08,-1.59,-0.02,-13.85,13.85,23.03,23.03,0.07,0.17,-2.49,2.49,-0.4,0.4,0.1,0.22,-9.83,9.83,-1.22,1.22,-4.53,-0.37,-75.39,75.39,-9.75,9.75,-13.59,-0.36,-225399.53,225399.53,-2727.72,2727.72,46.64,-1.0,-3106.93,3106.93,-55.82,55.82,0.0
4,2016-12-01,8.43,-1.32,-40.58,40.58,2.81,2.81,3.07,0.16,-410.1,410.1,9.01,9.01,9.96,-1.31,-74.15,74.15,5.84,5.84,18.74,-1.39,-88.96,88.96,17.15,17.15,565.3,1.9,-3333.02,3333.02,548.76,548.76,8.3,0.1,-5.44,5.44,31.23,31.23,-0.08,-0.17,-2.41,2.41,-0.46,0.46,-0.11,-0.2,-7.87,7.87,-1.25,1.25,1.85,0.24,-87.95,87.95,-6.9,6.9,38.1,1.57,-11650.48,11650.48,227.18,227.18,0.0,0.0,-3811.68,3811.68,-58.46,58.46,0.0
5,2017-12-01,0.51,0.25,-74.45,74.45,3.28,3.28,4.06,0.19,-789.02,789.02,6.14,6.14,0.51,0.22,-95.06,95.06,6.77,6.77,1.59,0.3,-550.62,550.62,14.93,14.93,-115.87,-0.13,-2630.32,2630.32,447.01,447.01,-1.71,-0.02,-7.34,7.34,29.32,29.32,-0.01,-0.03,-2.84,2.84,-0.46,0.46,-0.03,-0.07,-8.41,8.41,-1.28,1.28,3.03,0.32,-108.29,108.29,-4.0,4.0,22.56,0.36,-189817.14,189817.14,-1996.38,1996.38,64.07,11706.0,-1413.48,1413.48,30.79,30.79,0.0
6,2018-12-01,2.85,1.11,-30.58,30.58,6.1,6.1,-5.93,-0.23,-442.91,442.91,9.09,9.09,3.16,1.11,-52.64,52.64,11.62,11.62,5.33,0.78,-109.93,109.93,23.11,23.11,211.58,0.28,-5376.71,5376.71,631.19,631.19,1.52,0.02,-6.04,6.04,31.18,31.18,0.07,0.18,-2.54,2.54,-0.37,0.37,0.07,0.17,-9.89,9.89,-1.16,1.16,2.22,0.18,-77.35,77.35,-1.8,1.8,21.38,0.25,-54943.82,54943.82,-550.25,550.25,49.87,0.78,-2263.85,2263.85,73.21,73.21,0.0
7,2019-12-01,-3.43,-0.63,-43.11,43.11,3.53,3.53,-2.49,-0.12,-745.76,745.76,3.16,3.16,-3.86,-0.64,-68.5,68.5,10.57,10.57,-6.96,-0.57,-123.91,123.91,28.2,28.2,660.21,0.69,-14380.39,14380.39,1212.71,1212.71,2.8,0.03,-3.69,3.69,34.92,34.92,-0.07,-0.16,-2.89,2.89,-0.41,0.41,-0.08,-0.16,-10.2,10.2,-1.21,1.21,-4.83,-0.33,-102.33,102.33,-5.47,5.47,8.35,0.08,-10690.88,10690.88,105.78,105.78,-163.63,-1.44,-3897.8,3897.8,-100.79,100.79,0.0
8,2020-12-01,-1.88,-0.94,-53.72,53.72,2.19,2.19,-7.6,-0.43,-16345.06,16345.06,-128.74,128.74,-2.03,-0.94,-98.28,98.28,7.37,7.37,-4.87,-0.94,-227.98,227.98,70.83,70.83,-548.53,-0.34,-2700.18,2700.18,768.68,768.68,-0.99,-0.01,-4.22,4.22,32.84,32.84,-0.05,-0.13,-2.93,2.93,-0.41,0.41,-0.05,-0.12,-26.46,26.46,-1.28,1.28,-1.19,-0.12,-85.35,85.35,-5.74,5.74,-6.38,-0.06,-120973.66,120973.66,64514.27,64514.27,-43.26,0.87,-27512.58,27512.58,-347.13,347.13,0.0
9,2012-12-01,7.87,-0.91,-31.71,31.71,-0.81,0.81,-16.78,-0.78,-171.13,171.13,-3.83,3.83,12.9,-1.02,-71.0,71.0,143.82,143.82,8.35,-0.93,-68.05,68.05,19.64,19.64,242.53,1.05,-2204.48,2204.48,193.9,193.9,15.38,0.22,-9.66,9.66,28.61,28.61,0.25,0.26,-2.31,2.31,0.3,0.3,0.04,0.03,-12.66,12.66,-0.58,0.58,17.16,0.79,-38.3,38.3,22.51,22.51,286.29,1.03,-24662.29,24662.29,156.87,156.87,0.0,0.0,-941.44,941.44,-25.06,25.06,0.0
10,2013-12-01,-34.45,14.47,-57.3,57.3,-34.61,34.61,-0.16,-0.03,-844.65,844.65,-12.19,12.19,-40.76,-34.61,-90.68,90.68,-36.91,36.91,-27.44,20.78,-139.29,139.29,-18.54,18.54,583.74,1.23,-1496.37,1496.37,784.3,784.3,3.77,0.04,-5.77,5.77,32.75,32.75,0.04,0.03,-2.25,2.25,0.31,0.31,0.03,0.02,-12.78,12.78,-0.6,0.6,-35.83,-0.92,-74.22,74.22,-14.56,14.56,-499.62,-0.88,-9551.18,9551.18,-175.4,175.4,0.0,0.0,-3905.49,3905.49,-63.74,63.74,0.0
