,회사명,거래소코드,회계년도,총자본순이익률,매출액증가율,자기자본순이익률,매출액순이익률,유동비율,자기자본구성비율,총자본회전률,자기자본회전률,총자본투자효율,설비투자효율,순이익증가율,label
0,(주)CMG제약,58820,2011-12-01,-5.58,56.4,-8.28,-8.5,200.97,66.05,0.66,0.97,12.72,35.86,0.0,0.0
1,(주)CMG제약,58820,2012-12-01,-15.78,-8.43,-26.84,-40.97,693.49,55.32,0.39,0.66,0.47,2.89,0.0,0.0
2,(주)CMG제약,58820,2013-12-01,0.52,25.51,0.74,1.45,694.71,87.63,0.36,0.51,12.51,77.91,0.0,0.0
3,(주)CMG제약,58820,2014-12-01,0.28,11.52,0.32,0.69,324.58,84.39,0.4,0.46,12.16,37.8,-46.64,0.0
4,(주)CMG제약,58820,2015-12-01,-6.37,18.85,-7.62,-13.5,296.85,82.8,0.47,0.56,7.63,24.21,0.0,0.0
5,(주)CMG제약,58820,2016-12-01,2.06,21.92,2.34,5.24,862.15,91.1,0.39,0.45,9.48,62.31,0.0,0.0
6,(주)CMG제약,58820,2017-12-01,2.57,25.98,2.85,6.83,746.28,89.39,0.38,0.42,12.51,84.87,64.07,0.0
7,(주)CMG제약,58820,2018-12-01,5.42,20.05,6.01,12.16,957.86,90.91,0.45,0.49,14.73,106.25,113.94,0.0
8,(주)CMG제약,58820,2019-12-01,1.99,17.56,2.15,5.2,1618.07,93.71,0.38,0.41,9.9,114.6,-49.69,0.0
9,(주)CMG제약,58820,2020-12-01,0.11,9.96,0.12,0.33,1069.54,92.72,0.33,0.36,8.71,108.22,-92.95,0.0
10,(주)ES큐브,50120,2011-12-01,-8.65,21.63,-12.61,-8.99,230.24,70.74,0.96,1.36,21.71,279.2,0.0,0.0
11,(주)ES큐브,50120,2012-12-01,-0.78,4.85,0.29,-0.64,472.77,86.12,1.21,1.4,38.87,565.49,0.0,0.0
12,(주)ES큐브,50120,2013-12-01,-35.23,4.69,-40.47,-28.08,1056.51,89.89,1.25,1.43,3.04,65.87,0.0,0.0
13,(주)ES큐브,50120,2014-12-01,-1.19,-24.13,1.15,-1.38,769.89,87.66,0.86,0.97,10.2,251.09,0.0,0.0
14,(주)ES큐브,50120,2015-12-01,-4.11,-5.19,1.56,-5.47,765.67,89.27,0.75,0.85,4.8,135.68,37.29,0.0
15,(주)ES큐브,50120,2016-12-01,26.79,-18.65,38.07,62.82,1493.9,68.18,0.43,0.57,25.56,380.46,3206.73,0.0
