회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,산업명,[제조]매출액증가율(IFRS연결),[제조]순이익증가율(IFRS연결),[제조]매출액순이익률(IFRS연결),[제조]자기자본순이익률(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]자기자본구성비율(IFRS연결),[제조]유동비율(IFRS연결),[제조]총자본회전률(IFRS연결),[제조]자기자본회전률(IFRS연결)
(주)CMG제약,58820,2011/12,2001/08/31,,5,  의료용 물질 및 의약품 제조업,56.4,0.0,-8.5,-8.28,12.72,35.86,66.05,200.97,0.66,0.97
(주)CMG제약,58820,2012/12,2001/08/31,,5,  의료용 물질 및 의약품 제조업,-8.43,0.0,-40.97,-26.84,0.47,2.89,55.32,693.49,0.39,0.66
(주)CMG제약,58820,2013/12,2001/08/31,,5,  의료용 물질 및 의약품 제조업,25.51,0.0,1.45,0.74,12.51,77.91,87.63,694.71,0.36,0.51
(주)CMG제약,58820,2014/12,2001/08/31,,5,  의료용 물질 및 의약품 제조업,11.52,-46.64,0.69,0.32,12.16,37.8,84.39,324.58,0.4,0.46
(주)CMG제약,58820,2015/12,2001/08/31,,5,  의료용 물질 및 의약품 제조업,18.85,0.0,-13.5,-7.62,7.63,24.21,82.8,296.85,0.47,0.56
(주)CMG제약,58820,2016/12,2001/08/31,,5,  의료용 물질 및 의약품 제조업,21.92,0.0,5.24,2.34,9.48,62.31,91.1,862.15,0.39,0.45
(주)CMG제약,58820,2017/12,2001/08/31,,5,  의료용 물질 및 의약품 제조업,25.98,64.07,6.83,2.85,12.51,84.87,89.39,746.28,0.38,0.42
(주)CMG제약,58820,2018/12,2001/08/31,,5,  의료용 물질 및 의약품 제조업,20.05,113.94,12.16,6.01,14.73,106.25,90.91,957.86,0.45,0.49
(주)CMG제약,58820,2019/12,2001/08/31,,5,  의료용 물질 및 의약품 제조업,17.56,-49.69,5.2,2.15,9.9,114.6,93.71,1618.07,0.38,0.41
(주)CMG제약,58820,2020/12,2001/08/31,,5,  의료용 물질 및 의약품 제조업,,,,,,,,,,
(주)ES큐브,50120,2011/12,2002/04/25,,5,  도매 및 상품 중개업,0.0,0.0,-8.99,-12.61,21.71,279.2,70.74,230.24,0.96,1.36
(주)ES큐브,50120,2012/12,2002/04/25,,5,  도매 및 상품 중개업,0.0,0.0,-0.64,0.29,38.87,565.49,86.12,472.77,1.21,1.4
(주)ES큐브,50120,2013/12,2002/04/25,,5,  도매 및 상품 중개업,4.69,0.0,-28.08,-40.47,3.04,65.87,89.89,1056.51,1.25,1.43
(주)ES큐브,50120,2014/12,2002/04/25,,5,  도매 및 상품 중개업,-24.13,0.0,-1.38,1.15,10.2,251.09,87.66,769.89,0.86,0.97
(주)ES큐브,50120,2015/12,2002/04/25,,5,  도매 및 상품 중개업,-5.19,0.0,-5.47,1.56,4.8,135.68,89.27,765.67,0.75,0.85
(주)ES큐브,50120,2016/12,2002/04/25,,5,  도매 및 상품 중개업,-18.65,3206.73,62.82,38.07,25.56,380.46,68.18,1493.9,0.43,0.57
(주)ES큐브,50120,2017/12,2002/04/25,,5,  도매 및 상품 중개업,4.25,-92.01,4.86,2.41,7.08,64.47,68.77,1378.49,0.34,0.49
(주)ES큐브,50120,2018/12,2002/04/25,,5,  도매 및 상품 중개업,-5.55,-325.15,-18.13,-5.54,1.04,7.67,62.93,119.8,0.31,0.47
(주)ES큐브,50120,2019/12,2002/04/25,,5,  도매 및 상품 중개업,29.45,0.0,-31.5,-21.76,-0.12,-3.22,15.96,156.01,0.15,0.6
(주)ES큐브,50120,2020/12,2002/04/25,,5,  도매 및 상품 중개업,84.57,0.0,-31.35,-39.39,0.53,13.0,9.72,61.5,0.14,1.12
(주)가비아,79940,2011/12,2005/10/19,,5,  출판업,30.07,9.94,13.28,18.06,39.7,116.43,74.92,207.38,0.9,1.23
(주)가비아,79940,2012/12,2005/10/19,,5,  출판업,30.7,46.89,13.64,21.3,36.43,82.09,69.15,215.35,0.92,1.28
(주)가비아,79940,2013/12,2005/10/19,,5,  출판업,2.34,-10.69,13.45,15.65,35.98,88.61,75.19,249.42,0.8,1.11
(주)가비아,79940,2014/12,2005/10/19,,5,  출판업,13.8,-41.1,8.4,8.18,34.68,92.13,76.63,258.29,0.85,1.12
(주)가비아,79940,2015/12,2005/10/19,,5,  출판업,13.95,62.73,9.31,11.99,39.68,112.95,80.03,395.42,0.9,1.15
(주)가비아,79940,2016/12,2005/10/19,,5,  출판업,11.49,-3.61,9.96,10.68,36.1,105.07,76.28,295.5,0.89,1.14
(주)가비아,79940,2017/12,2005/10/19,,5,  출판업,13.74,-12.57,8.32,8.88,36.5,108.49,74.89,224.87,0.9,1.19
(주)가비아,79940,2018/12,2005/10/19,,5,  출판업,10.76,54.56,11.92,12.58,41.1,137.57,75.4,262.0,0.9,1.2
(주)가비아,79940,2019/12,2005/10/19,,5,  출판업,15.21,43.49,14.23,15.73,66.57,209.21,67.51,201.58,0.84,1.19
(주)가비아,79940,2020/12,2005/10/19,,5,  출판업,13.98,13.21,14.05,14.99,35.27,87.57,66.61,244.16,0.74,1.1
(주)가온칩스,399720,2018/12,2022/05/20,,5,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,,
(주)가온칩스,399720,2019/12,2022/05/20,,5,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,,
(주)가온칩스,399720,2020/12,2022/05/20,,5,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,,
(주)강스템바이오텍,217730,2013/12,2015/12/21,,5,  의료용 물질 및 의약품 제조업,,,,,,,,,,
(주)강스템바이오텍,217730,2014/12,2015/12/21,,5,  의료용 물질 및 의약품 제조업,,,,,,,,,,
(주)강스템바이오텍,217730,2015/12,2015/12/21,,5,  의료용 물질 및 의약품 제조업,,,,,,,,,,
(주)강스템바이오텍,217730,2016/12,2015/12/21,,5,  의료용 물질 및 의약품 제조업,,,,,,,,,,
(주)강스템바이오텍,217730,2017/12,2015/12/21,,5,  의료용 물질 및 의약품 제조업,0.0,0.0,-126.27,-46.19,-1.37,-10.95,51.87,396.43,0.19,0.37
(주)강스템바이오텍,217730,2018/12,2015/12/21,,5,  의료용 물질 및 의약품 제조업,0.36,0.0,-155.96,-37.79,-4.55,-59.54,65.01,244.28,0.15,0.25
(주)강스템바이오텍,217730,2019/12,2015/12/21,,5,  의료용 물질 및 의약품 제조업,-34.49,0.0,-439.57,-41.61,-11.83,-255.84,60.47,268.99,0.06,0.1
(주)강스템바이오텍,217730,2020/12,2015/12/21,,5,  의료용 물질 및 의약품 제조업,52.18,0.0,-216.09,-30.2,-9.32,-24.11,58.95,366.62,0.09,0.16
(주)강원에너지,114190,2011/11,2009/11/20,,5,  금속가공제품 제조업; 기계 및 가구 제외,,,,,,,,,,
(주)강원에너지,114190,2012/12,2009/11/20,,5,  금속가공제품 제조업; 기계 및 가구 제외,,,,,,,,,,
