,회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,산업명,유동자산증가율,총자본증가율,자기자본순이익률,총자본순이익률,자본분배율,부가가치율,순운전자본비율,자기자본배율,매입채무회전률,매출채권회전기간,label,유동자산증가율_차이,유동자산증가율_변동률,총자본증가율_차이,총자본증가율_변동률,자기자본순이익률_차이,자기자본순이익률_변동률,총자본순이익률_차이,총자본순이익률_변동률,자본분배율_차이,자본분배율_변동률,부가가치율_차이,부가가치율_변동률,순운전자본비율_차이,순운전자본비율_변동률,자기자본배율_차이,자기자본배율_변동률,매입채무회전률_차이,매입채무회전률_변동률,매출채권회전기간_차이,매출채권회전기간_변동률
0,(주)CMG제약,58820,2012-12-01,2001-08-31,,5,  의료용 물질 및 의약품 제조업,207.08,109.15,-26.84,-15.78,-1649.87,1.66,70.6,95.69,7.83,197.16,0.0,189.44,0.1073922902494331,107.17,0.5412626262626262,-18.560000000000002,-0.022415458937198072,-10.2,-0.01827956989247312,-1660.05,-1.630697445972495,-17.9,-0.009151329243353783,42.36999999999999,0.015008855827134251,13.14,0.001591762568140521,-4.119999999999999,-0.0034476987447698737,48.359999999999985,0.0032499999999999985
1,(주)CMG제약,58820,2013-12-01,2001-08-31,,5,  의료용 물질 및 의약품 제조업,-18.89,-2.09,0.74,0.52,28.72,34.29,58.5,113.12,6.2,176.2,0.0,-225.97000000000003,-0.010912207842379758,-111.24000000000001,-0.01019147961520843,27.58,0.010275707898658717,16.3,0.010329531051964512,1678.59,0.01017407432100711,32.63,0.19656626506024097,-12.099999999999994,-0.0017138810198300278,17.430000000000007,0.0018215069495245068,-1.63,-0.002081736909323116,-20.960000000000008,-0.0010630959626699132
2,(주)CMG제약,58820,2014-12-01,2001-08-31,,5,  의료용 물질 및 의약품 제조업,-25.93,3.86,0.32,0.28,20.7,31.04,33.72,113.13,5.27,196.72,0.0,-7.039999999999999,-0.003726839597670725,5.949999999999999,0.0284688995215311,-0.42,-0.005675675675675676,-0.24,-0.004615384615384615,-8.02,-0.0027924791086350975,-3.25,-0.00094779819189268,-24.78,-0.004235897435897436,0.009999999999990905,8.840169731250801e-07,-0.9300000000000006,-0.001500000000000001,20.52000000000001,0.0011645856980703753
3,(주)ES큐브,50120,2012-12-01,2002-04-25,,5,  도매 및 상품 중개업,-33.37,-16.58,0.29,-0.78,13.89,32.14,38.68,335.11,36.32,29.94,0.0,-37.199999999999996,-0.09712793733681462,-29.36,-0.02297339593114241,12.899999999999999,0.010229976209357651,7.87,0.009098265895953757,34.09,0.016876237623762377,9.580000000000002,0.004246453900709221,3.9299999999999997,0.001130935251798561,7.860000000000014,0.0002401833460656994,16.6,0.008417849898580122,-55.510000000000005,-0.006496196606202458
4,(주)ES큐브,50120,2013-12-01,2002-04-25,,5,  도매 및 상품 중개업,68.92,1.85,-40.47,-35.23,-952.79,2.45,73.67,228.55,47.35,24.04,0.0,102.28999999999999,0.030653281390470483,18.43,0.011115802171290714,-40.76,-1.4055172413793104,-34.449999999999996,-0.4416666666666666,-966.68,-0.6959539236861051,-29.69,-0.009237710018668327,34.99,0.00904601861427094,-106.56,-0.0031798513920802125,11.030000000000001,0.0030368942731277535,-5.900000000000002,-0.0019706078824315303
5,(주)ES큐브,50120,2014-12-01,2002-04-25,,5,  도매 및 상품 중개업,20.49,20.1,1.15,-1.19,17.27,12.98,71.03,228.93,41.31,27.07,0.0,-48.43000000000001,-0.007026987811955892,18.25,0.09864864864864865,41.62,0.010284161106992833,34.04,0.009662219699120069,970.06,0.010181257150054052,10.530000000000001,0.04297959183673469,-2.6400000000000006,-0.0003583548255735035,0.37999999999999545,1.6626558739881666e-05,-6.039999999999999,-0.0012756071805702215,3.030000000000001,0.0012603993344425962
6,(주)가비아,79940,2012-12-01,2005-10-19,,5,  출판업,10.96,31.24,21.3,12.54,50.21,44.97,20.11,528.7,46.71,28.81,0.0,-12.739999999999998,-0.005375527426160337,8.479999999999997,0.0037258347978910357,3.240000000000002,0.0017940199335548185,0.6399999999999988,0.0005378151260504192,-1.8699999999999974,-0.00035906298003072145,-3.8400000000000034,-0.0007867240319606645,-2.879999999999999,-0.0012527185732927354,96.55000000000007,0.002234177947471944,-64.56,-0.00580210299272041,-0.019999999999999574,-6.937218175511472e-06
7,(주)가비아,79940,2013-12-01,2005-10-19,,5,  출판업,16.92,7.02,15.65,10.77,48.33,46.45,24.57,615.59,32.25,31.43,0.0,5.960000000000001,0.005437956204379563,-24.22,-0.007752880921895006,-5.65,-0.002652582159624413,-1.7699999999999996,-0.0014114832535885163,-1.8800000000000026,-0.00037442740489942295,1.480000000000004,0.0003291082944185021,4.460000000000001,0.0022178020885131777,86.88999999999999,0.0016434651030830334,-14.46,-0.003095696852922287,2.620000000000001,0.0009094064560916352
8,(주)가비아,79940,2014-12-01,2005-10-19,,5,  출판업,12.05,8.02,8.18,7.12,45.15,42.5,26.07,664.46,34.03,13.49,0.0,-4.870000000000001,-0.002878250591016549,1.0,0.0014245014245014246,-7.470000000000001,-0.004773162939297125,-3.6499999999999995,-0.003389043639740018,-3.1799999999999997,-0.0006579764121663563,-3.950000000000003,-0.0008503767491926809,1.5,0.0006105006105006105,48.870000000000005,0.0007938725450380936,1.7800000000000011,0.0005519379844961243,-17.939999999999998,-0.005707922367165128
9,(주)강원에너지,114190,2012-12-01,2009-11-20,,5,  금속가공제품 제조업; 기계 및 가구 제외,67.86,66.16,-27.09,-23.03,0.0,-194.04,63.77,307.4,11.87,73.47,0.0,87.09,0.04528861154446178,93.56,0.034145985401459855,3.1099999999999994,0.001029801324503311,-2.900000000000002,-0.0014406358668653761,0.0,0.0,-109.91,-0.013064305241887555,24.32,0.006164765525982255,-99.43,-0.002444018386058059,-6.369999999999999,-0.003492324561403509,53.64,0.0270499243570348
